Job Title,Company Name,Job Location,Required Experience,Full Job Description
Data Engineer STMicroelectronics,Company Industry Consumer DurablesConsumer Electronics,"Experience 0 - 5 Years Job Location Agadir - Morocco Education Bachelor of Technology/Engineering, Master of Technology/Engineering Nationality Any Nationality Vacancy 1 Vacancy","Experience 0 - 5 Years Job Location Agadir - Morocco Education Bachelor of Technology/Engineering, Master of Technology/Engineering Nationality Any Nationality Vacancy 1 Vacancy","Job Description Roles & Responsibilities Data engineers collect, transform and store data using pipelines and storage systems. This involves extracting data from various data source systems, transforming it into the staging area, and loading it into database, data warehouse or data lake systems. The Data Engineer ensures quantitative and qualitative access to data sources. He/she ensures availability of data and guarantees the quality of its use in-order-to facilitate its exploitation by Data analysts and Data scientists. His/her scope of intervention is focused on application systems around data management and processing and on Big Data, IoT platforms."
AWS Data Engineer Client of Salt,Company Industry IT - Software Services,Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates Education Bachelor of Science(Computers) Nationality Any Nationality Vacancy 1 Vacancy,Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates Education Bachelor of Science(Computers) Nationality Any Nationality Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Contract Length 6 Months (view to extend) Start Date ASAP The role will focus on building scalable AWS-based ingestion pipelines, optimizing performance, and ensuring alignment with architecture and data quality standards. Key Responsibilities: Build and maintain data ingestion pipelines using AWS Glue, PySpark, S3, Athena, and Lambda. Implement CDC, full load, delta, snapshot, and historical loading patterns. Develop and optimize Bronze-layer ingestion pipelines. Improve pipeline performance through partitioning, parallelization, and AWS best practices. Automate deployment and infrastructure using Git and Terraform. Ensure pipelines comply with data contracts, monitoring, and data quality standards. Work closely with Data Architects, Data Assurance, and Platform teams. Identify opportunities to automate repetitive migration and engineering activities."
Big Data Engineer L2 Alef Education,Company Industry IT - Software Services,"Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates Education Bachelor of Technology/Engineering(Computers), MBA/PG Diploma in Business Mgmt(Information Technology) Nationality Any Nationality Vacancy 1 Vacancy","Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates Education Bachelor of Technology/Engineering(Computers), MBA/PG Diploma in Business Mgmt(Information Technology) Nationality Any Nationality Vacancy 1 Vacancy","Job Description Roles & Responsibilities Key Responsibilities Defining and developing services and solutions Define, design, and develop services and solutions around large data ingestion, storage, and management such as withRDBMS, No SQL DBs, Log Files, Events. Define, design, and run robust data pipelines/batch jobs in a production environment. Architecting highly scalable, highly concurrent, and low latency systems Maintain, support, and enhance current systems. Contribute to paying down technical debt and use development approaches that minimize the growth of new technical debt. Contribute feedback to improve the quality, readability, and testability of the code base within your team. Mentor and train other developers in a non-line management capacity. Build tools (One of SBT, Gradle, Maven). Ensure all software built is robust and scalable. Collaborating with Internal and external stakeholders Participating in sprint planning to work with developers and project teams to ensure projects are deployable and monitorable from the outside. Work with third-party and other internal providers to support a variety of integrations. As part of the team, you may be expected to participate in some of the 2nd line in-house support and Out-of-Hours support rotas. Proactively advise on best practices."
Senior Data Engineer (Spark) SSC Egypt,Company Industry ConsultingManagement ConsultingAdvisory Services,Experience 5 - 10 Years Job Location Cairo - Egypt Education Bachelors in Computer Application(Computers) Nationality Any Nationality Vacancy 1 Vacancy,Experience 5 - 10 Years Job Location Cairo - Egypt Education Bachelors in Computer Application(Computers) Nationality Any Nationality Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Builds and runs large scale batch data pipelines, keeping jobs fast and affordable as data volumes grow. Works with Apache Spark to build and manage large scale data processing jobs, including performance tuning to maintain efficient and reliable pipeline execution. Supports data modelling for analytics and organises data in a lakehouse so it is usable downstream. Handles automated scheduling, monitoring, and data quality checks, while working with platform and product teams on end to end data flows."
Senior Consultant - Data Engineering,Company Industry Retail,"Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates (UAE) Education Bachelor of Technology/Engineering, Master of Technology/Engineering(Computers) Nationality Indian, Any GCC National Gender Any Vacancy 1 Vacancy","Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates (UAE) Education Bachelor of Technology/Engineering, Master of Technology/Engineering(Computers) Nationality Indian, Any GCC National Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities Design and implement scalable data platforms on Snowflake for retail analytics Build and optimize ELT pipelines for retail data (POS, e-commerce, CRM, inventory, supply chain) Leverage Snowflake Cortex to enable AI-driven use cases such as: Customer segmentation & personalization, Product recommendations, promo analysis Integrate data from multiple retail systems (ERP, OMS, WMS, e-commerce platforms) Develop data models for key retail metrics (sales, margins, inventory turnover, basket analysis) Ensure data quality, governance, and compliance across datasets Optimize Snowflake performance and cost for large-scale retail workloads Collaborate with business stakeholders (merchandising, marketing, supply chain teams) Enable near real-time analytics for inventory and order tracking"
MAIR GROUP - P.J.S.C,,,,
"Manager - Model Implementation, Data Engineering and IFRS9 Risk Data",Company Industry RecruitmentPlacement FirmExecutive Search,"Experience 6 - 12 Years Monthly Salary AED 17,000 - 25,000 ($4,591 - $6,751) Job Location Abu Dhabi, Dubai, Al Ain - United Arab Emirates (UAE) Education MBA/PG Diploma in Business Mgmt(Finance) Nationality Any Arab National, Any European National, Indian Gender Any Vacancy 2 Vacancies","Experience 6 - 12 Years Monthly Salary AED 17,000 - 25,000 ($4,591 - $6,751) Job Location Abu Dhabi, Dubai, Al Ain - United Arab Emirates (UAE) Education MBA/PG Diploma in Business Mgmt(Finance) Nationality Any Arab National, Any European National, Indian Gender Any Vacancy 2 Vacancies","Job Description Roles & Responsibilities Nair Systems is currently looking for Manager - Model Implementation, Data Engineering and IFRS9 Risk Data for our UAE operations Role Purpose: This role demands a highly technical, data-driven professional with strong expertise in ETL pipeline development, credit risk data management, and IFRS9 model support. The incumbent will lead the design, implementation, and governance of end-to-end risk data pipelines, ensuring alignment with regulatory and modelling requirements. As part of the ERM – Risk Function, the Risk Data Management team plays a critical role in meeting CBUAE, IFRS9, and Basel II/III requirements. The role is responsible for ensuring availability, accuracy, and traceability of data used in PD, LGD, and EAD models, including default tagging, post-default events, recovery tracking, and exposure computation. Core Domain Expertise: IFRS9, Basel II/III, PD/LGD/EAD modelling, credit risk data lifecycle Preferred Tools & Technologies: SQL (Impala, Hive, Oracle), Python, SAS, Cloudera CDP, Power BI, SAP BO Key Responsibilities: ETL & Risk Data Engineering Design, develop and maintain scalable ETL pipelines using SQL, Python, and SAS Support datasets for default identification, post-default events, recovery, and exposure Implement incremental and full-load strategies ensuring no duplication or leakage Optimize SQL for large-scale distributed processing environments Integrate data from core banking, collections, GSAM, and external sources IFRS9 & Credit Risk Data Management Translating IFRS9 methodology into technical data pipelines Support PD, LGD, EAD model data preparation Implement staging (Stage 1/2/3), default, and curing logic Handle recoveries, write-offs, restructures, and exposure calculations Model Implementation & Validation Support Provision model-ready datasets for deployment Support feature engineering, segmentation, and backtesting datasets Perform reconciliation with developed/reference outputs and identify mismatches Data Quality & Governance Develop DQ frameworks covering completeness, accuracy, and consistency Perform root cause analysis on data issues Ensure full data lineage and traceability Risk Technology & System Integration Collaborate with IT for system integration and model deployment Support risk system migration and upgrades Perform testing for data migration and model accuracy Automation & Reporting Automate regulatory and internal reporting processes Prepare datasets for dashboards and regulatory submissions Support reporting tools such as Power BI and BusinessObjects"
Data Engineer,Company Industry ConstructionCivil Engineering,Experience 5 - 8 Years Job Location Dubai - United Arab Emirates (UAE) Education Bachelor of Technology/Engineering(Computers) Nationality Any Nationality Gender Any Vacancy 1 Vacancy,Experience 5 - 8 Years Job Location Dubai - United Arab Emirates (UAE) Education Bachelor of Technology/Engineering(Computers) Nationality Any Nationality Gender Any Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Role Purpose : The Data Engineer prepares the Group’s enterprise data and knowledge sources so that AI, Generative AI, and Agentic AI solutions operate on information that is accurate, current, governed, and fit for purpose. Spanning structured data in core business systems and unstructured content across documents, policies, and correspondence, the role builds and maintains the pipelines and knowledge repositories that underpin retrieval-augmented AI. It is the control point that ensures agents draw only on trusted, approved sources — making this role the single greatest determinant of whether the Group’s AI outputs can be relied upon in business decisions ▶ Data Preparation for AI Use Cases – Prepare enterprise data and knowledge sources for AI use cases, working from prioritised business requirements defined with the AI / Agentic AI Lead. – Support data extraction, cleansing, classification, tagging, and indexing across structured, semi-structured, and unstructured sources. – Build and maintain ingestion pipelines from ERP, CRM, HRMS, procurement systems, the data lake, and document repositories. – Design chunking, metadata, and enrichment strategies that materially improve retrieval relevance and answer quality. – Handle multi-format content — PDF, Office documents, scanned material, and email — including OCR and text extraction where required. ▶ Knowledge Repositories & RAG Enablement – Build and maintain knowledge repositories for RAG-based AI solutions, including embedding generation, vector store management, and index refresh cycles. – Implement versioning and change detection so that repositories remain synchronised with authoritative source systems. – Define and apply access controls at the data layer so that retrieval respects existing entitlement and confidentiality boundaries. – Measure and tune retrieval performance, working with AI engineers to diagnose grounding failures and improve recall and precision. ▶ Data Quality & Master Data Readiness – Work with functional and technical teams to improve data quality and master data readiness across customer, vendor, product, employee, and asset domains. – Profile source data to quantify completeness, consistency, duplication, and timeliness, and report readiness objectively to initiative sponsors. – Implement automated data quality rules, validation checks, and exception reporting within pipelines. – Support remediation of root-cause data issues with business data owners rather than correcting symptoms downstream. ▶ Governance, Trust & Security – Ensure AI agents use trusted, approved, and governed data sources, and that unapproved or unclassified content is excluded from AI consumption. – Apply data classification, retention, and privacy requirements in line with Group policy and UAE data protection regulation. – Maintain lineage and cataloguing so that any AI output can be traced back to its underlying source with confidence. – Collaborate with Cybersecurity and Compliance on access reviews, data residency, encryption, and audit evidence. ▶ Platform Operations & Collaboration – Operate and optimize cloud data platforms and pipelines for reliability, performance, and cost efficiency. – Monitor pipeline health, resolve failures, and maintain documentation, runbooks, and operational handover materials. – Partner with AI engineers, application teams, and business analysts throughout the delivery cycle, from discovery to production support. – Contribute to Group data standards, reusable pipeline patterns, and shared engineering practice."
Al Gurg Group,,,,
Snowflake Data Engineer,Company Industry HotelsHospitality,"Experience 8 - 15 Years Job Location Dubai - United Arab Emirates (UAE) Education Secondary School, Intermediate School, Any Graduation Nationality Indian Gender Any Vacancy 1 Vacancy","Experience 8 - 15 Years Job Location Dubai - United Arab Emirates (UAE) Education Secondary School, Intermediate School, Any Graduation Nationality Indian Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. Design and implement efficient data models to support analytical and business reporting requirements. Perform data ingestion from multiple structured and semi-structured data sources. Optimize Snowflake performance through query tuning, clustering, partitioning, and warehouse optimization. Develop reusable, scalable, and maintainable SQL transformations. Implement data quality checks, validation, and monitoring processes. Collaborate with Data Architects, Business Analysts, BI Developers, and cross-functional teams to deliver robust data solutions. Troubleshoot production issues and ensure high availability of data pipelines. Follow best practices for version control, CI/CD, testing, and documentation."
Snowflake Data Engineer,Company Industry HotelsHospitality,"Experience 8 - 15 Years Job Location Dubai - United Arab Emirates (UAE) Education Secondary School, Intermediate School, Any Graduation Nationality Indian Gender Any Vacancy 1 Vacancy","Experience 8 - 15 Years Job Location Dubai - United Arab Emirates (UAE) Education Secondary School, Intermediate School, Any Graduation Nationality Indian Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities Design, develop, and maintain scalable data pipelines using Snowflake. Build and optimize ELT workflows using dbt. Develop and orchestrate data pipelines using Apache Airflow. Design and implement efficient data models to support analytical and business reporting requirements. Perform data ingestion from multiple structured and semi-structured data sources. Optimize Snowflake performance through query tuning, clustering, partitioning, and warehouse optimization. Develop reusable, scalable, and maintainable SQL transformations. Implement data quality checks, validation, and monitoring processes. Collaborate with Data Architects, Business Analysts, BI Developers, and cross-functional teams to deliver robust data solutions. Troubleshoot production issues and ensure high availability of data pipelines. Follow best practices for version control, CI/CD, testing, and documentation."
Data Engineer,Company Industry RecruitmentPlacement FirmExecutive Search,"Experience 4 - 8 Years Job Location Dubai - United Arab Emirates (UAE) Education Master of Science(Computers), MBA/PG Diploma in Business Mgmt(Information Technology) Nationality Any Nationality Gender Any Vacancy 1 Vacancy","Experience 4 - 8 Years Job Location Dubai - United Arab Emirates (UAE) Education Master of Science(Computers), MBA/PG Diploma in Business Mgmt(Information Technology) Nationality Any Nationality Gender Any Vacancy 1 Vacancy",Job Description Roles & Responsibilities Design and implement robust data pipelines that ensure seamless data flow from various sources to data storage solutions. Optimize data ingestion and transformation processes to improve performance and reduce latency for real-time analytics. Collaborate with data scientists and analysts to understand data requirements and translate them into technical specifications. Ensure data quality and integrity by implementing automated data validation and monitoring systems.
Senior Data Engineer (Investment Data),Company Industry IT - Software Services,Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates Education Bachelor of Technology/Engineering(Computers) Nationality Any Nationality Vacancy 1 Vacancy,Experience 5 - 10 Years Job Location Abu Dhabi - United Arab Emirates Education Bachelor of Technology/Engineering(Computers) Nationality Any Nationality Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Project description We re looking for an experienced, hands-on Data Engineer who is capable of designing, building, and operating data pipelines and models that power analytics and applications across investment teams and Middle/Back office. The ideal candidate has financial markets familiarity (securities, prices, corporate actions, positions/holdings) and thrives in ambiguous environments proactively shaping solutions, not waiting for tickets. You ll own data end-to-end: from ingesting vendor and internal sources, to modeling in our lakehouse, to making data discoverable, reliable, and cost-efficient. You ll partner closely with BAs/PMs and quants, anticipate downstream needs, and propose pragmatic architectures that balance speed, governance, and scalability. Responsibilities Participate in requirements clarification and sprint planning sessions. Design technical solutions and implement them, inc ETL Pipelines Build robust data pipelines in PySpark to extract, transform, using PySpark Optimize ETL Processes Enhance and tune existing ETL processes for better performance, scalability, and reliability Writing unit and integration tests. Support QA teammates in the acceptance process. Resolving PROD incidents as a 3rd line engineer. Skills Must have Bachelor s degree (Computer Science, Engineering, Information Systems, or related discipline). 5+ years experience in data engineering roles (flexible based on depth of capability). Strong hands-on experience with Databricks in production environments (prerequisite). Strong programming experience with PySpark (must) and strong SQL (must). Proven experience with Declarative Pipelines / pipeline orchestration on Databricks (prerequisite). Strong understanding of data engineering fundamentals: ingestion patterns, transformation design, incremental processing, testing, performance tuning. Experience delivering production-ready datasets with appropriate operational controls (monitoring, troubleshooting, reliability patterns). Experience with modern Lakehouse concepts (Delta tables, optimization strategies, file skipping, metadata/statistics awareness). Exposure to data governance practices: cataloguing, documentation, business glossary/terms, lineage. Experience working in enterprise environments with CI/CD pipelines and structured release processes. Familiarity with vendor market data feeds (e.g., Bloomberg, Refinitiv, MSCI, FactSet) or similar multi-source mastering patterns. Nice to have Strong Hands-on Expertise in Palantir Foundry. Proven experience with Foundry pipelines, ontologies, data lineage, transformations, and platform governance. Proven Migration Experience from Palantir / to Databricks. Demonstrated experience leading or executing platform migrations, including pipeline conversion, data model redesign, and production cutover. Familiarity with Dynatrace or Datadog for system observability and monitoring. Databricks certification, cloud certifications (Azure/AWS), or enterprise data architecture certifications. Other Languages English: C1 Advanced"
Luxoft,,,"Senior Data Engineer (Investment Data) Luxoft 5 - 10 YearsAbu Dhabi - United Arab Emirates Seeking a Data Engineer to design and optimize data pipelines using PySpark and Databricks, with strong data governance and production experience. 18 Sep",
